stat_id,match_id,player_id,goals,assists,fouls
PSMS010566,MS010,P020,4,2,5
PSMS010164,MS010,P002,0,2,1
PSMS010853,MS010,P050,2,3,4
PSMS010114,MS010,P047,0,2,2
PSMS010643,MS010,P033,2,0,0
PSMS011587,MS011,P048,0,3,2
PSMS011242,MS011,P048,4,1,2
PSMS011307,MS011,P019,5,1,5
PSMS011387,MS011,P034,5,1,0
PSMS011336,MS011,P034,4,1,2
PSMS011466,MS011,P007,1,3,3
PSMS01184,MS011,P006,0,3,1
PSMS011488,MS011,P014,3,0,2
PSMS011694,MS011,P034,3,3,2
PSMS011599,MS011,P032,5,3,3
PSMS011706,MS011,P032,5,3,1
PSMS011148,MS011,P033,1,3,5
PSMS011469,MS011,P009,5,0,5
PSMS011218,MS011,P030,3,0,5
PSMS012873,MS012,P027,0,0,2
PSMS012586,MS012,P019,0,1,0
PSMS012381,MS012,P020,2,2,2
PSMS012498,MS012,P002,1,1,4
PSMS012432,MS012,P004,2,2,1
PSMS012188,MS012,P048,3,0,0
PSMS012561,MS012,P023,0,0,3
PSMS012493,MS012,P037,2,3,2
PSMS012801,MS012,P025,3,1,1
PSMS012517,MS012,P041,3,3,5
PSMS012460,MS012,P010,5,2,0
PSMS012820,MS012,P040,5,3,3
PSMS012239,MS012,P026,2,0,5
PSMS012912,MS012,P029,5,2,5
PSMS01291,MS012,P011,5,0,4
PSMS012646,MS012,P050,5,2,4
PSMS012661,MS012,P008,5,0,1
PSMS012979,MS012,P040,4,0,4
PSMS012535,MS012,P013,3,0,0
PSMS013806,MS013,P014,1,3,0
PSMS013827,MS013,P035,4,2,3
PSMS013604,MS013,P003,3,0,2
PSMS013448,MS013,P012,3,0,4
PSMS013325,MS013,P025,2,0,0
PSMS013102,MS013,P035,1,2,1
PSMS013188,MS013,P017,0,1,2
PSMS013976,MS013,P027,5,1,0
PSMS013630,MS013,P021,1,0,5
PSMS01360,MS013,P020,3,0,2
PSMS013146,MS013,P027,2,2,3
PSMS013965,MS013,P008,0,1,1
PSMS013771,MS013,P039,4,1,3
PSMS013521,MS013,P049,4,3,0
PSMS014567,MS014,P027,0,3,0
PSMS014418,MS014,P041,1,0,2
PSMS014568,MS014,P038,5,0,1
PSMS014782,MS014,P036,5,1,2
PSMS014582,MS014,P027,3,0,5
PSMS014513,MS014,P014,1,2,4
PSMS014173,MS014,P016,4,3,4
PSMS014463,MS014,P003,0,3,4
PSMS014297,MS014,P042,1,0,0
PSMS014956,MS014,P031,2,2,5
PSMS014390,MS014,P023,5,1,4
PSMS014861,MS014,P033,2,0,1
PSMS014757,MS014,P035,4,0,2
PSMS01492,MS014,P026,5,0,1
PSMS014743,MS014,P036,2,3,1
PSMS014626,MS014,P033,2,2,5
PSMS014268,MS014,P049,5,3,2
PSMS015471,MS015,P039,2,0,5
PSMS015137,MS015,P042,0,3,0
PSMS015924,MS015,P001,5,1,3
PSMS015570,MS015,P045,5,3,3
PSMS015552,MS015,P006,5,0,4
PSMS01532,MS015,P043,3,0,2
PSMS015996,MS015,P025,4,2,3
PSMS015182,MS015,P050,5,0,0
PSMS015474,MS015,P024,1,3,0
PSMS015227,MS015,P048,0,2,5
PSMS015944,MS015,P046,2,1,0
PSMS015836,MS015,P040,5,2,5
PSMS015227,MS015,P015,3,2,0
PSMS016621,MS016,P014,0,1,5
PSMS016406,MS016,P008,2,3,1
PSMS016566,MS016,P013,5,1,0
PSMS016603,MS016,P009,5,0,1
PSMS016266,MS016,P037,1,2,1
PSMS016869,MS016,P044,0,2,5
PSMS016574,MS016,P030,0,3,5
PSMS016690,MS016,P042,0,2,3
PSMS016865,MS016,P027,2,0,5
PSMS016531,MS016,P030,3,2,4
PSMS016778,MS016,P003,5,1,0
PSMS016285,MS016,P027,4,3,2
PSMS0166,MS016,P026,1,2,0
PSMS016902,MS016,P037,0,1,5
PSMS016434,MS016,P005,1,1,1
PSMS016338,MS016,P020,0,0,0
PSMS016492,MS016,P028,0,2,2
PSMS016254,MS016,P007,3,1,2
PSMS016853,MS016,P004,2,1,0
PSMS016795,MS016,P039,4,3,0
PSMS016641,MS016,P029,4,0,0
PSMS017912,MS017,P045,0,1,0
PSMS017942,MS017,P029,0,2,4
PSMS017642,MS017,P028,0,0,5
PSMS01758,MS017,P036,0,2,3
PSMS017412,MS017,P007,4,3,1
PSMS017886,MS017,P039,5,0,3
PSMS017394,MS017,P030,3,0,2
PSMS017667,MS017,P044,0,3,4
PSMS017337,MS017,P038,1,0,0
PSMS01713,MS017,P039,5,0,4
PSMS017809,MS017,P013,4,1,5
PSMS017522,MS017,P017,2,3,3
PSMS017743,MS017,P040,3,1,1
PSMS017141,MS017,P003,0,1,2
PSMS017599,MS017,P028,4,2,2
PSMS018317,MS018,P039,2,2,2
PSMS018994,MS018,P001,4,1,0
PSMS018244,MS018,P033,4,0,3
PSMS018353,MS018,P013,1,1,0
PSMS018350,MS018,P013,5,3,5
PSMS018709,MS018,P030,4,2,4
PSMS018580,MS018,P022,4,2,3
PSMS018337,MS018,P011,0,3,0
PSMS018508,MS018,P015,0,1,5
PSMS018236,MS018,P030,4,1,1
PSMS018493,MS018,P048,2,3,1
PSMS018410,MS018,P012,0,2,0
PSMS01876,MS018,P023,0,0,1
PSMS018298,MS018,P029,1,2,0
PSMS018999,MS018,P002,1,1,2
PSMS018179,MS018,P015,2,1,2
PSMS018868,MS018,P036,1,1,1
PSMS01922,MS019,P044,1,3,5
PSMS019807,MS019,P008,2,1,2
PSMS019468,MS019,P016,2,2,5
PSMS019176,MS019,P034,4,3,5
PSMS01967,MS019,P008,1,1,1
PSMS019197,MS019,P035,3,2,2
PSMS019614,MS019,P028,5,1,0
PSMS019782,MS019,P040,4,1,4
PSMS019302,MS019,P010,2,1,0
PSMS019645,MS019,P018,1,3,1
PSMS019745,MS019,P006,3,0,1
PSMS020522,MS020,P024,3,3,1
PSMS020330,MS020,P046,2,3,5
PSMS020979,MS020,P032,3,2,4
PSMS020411,MS020,P041,4,0,1
PSMS020225,MS020,P013,3,1,3
PSMS020224,MS020,P020,3,3,4
PSMS020161,MS020,P024,2,0,1
PSMS020770,MS020,P006,2,3,4
PSMS020361,MS020,P015,4,0,3
PSMS020525,MS020,P040,2,3,3
PSMS020479,MS020,P028,3,2,3
PSMS020325,MS020,P018,3,0,1
PSMS020453,MS020,P015,2,0,2
PSMS020924,MS020,P006,2,0,2
PSMS020949,MS020,P015,0,0,0
PSMS020369,MS020,P003,4,1,2
PSMS020202,MS020,P044,2,2,2
PSMS020764,MS020,P050,5,2,1
PSMS020723,MS020,P039,1,2,0
PSMS020789,MS020,P020,2,2,3
PSMS020969,MS020,P026,4,0,3
PSMS020670,MS020,P033,1,3,1
PSMS021529,MS021,P038,4,3,5
PSMS021834,MS021,P030,2,0,2
PSMS021867,MS021,P013,3,3,1
PSMS021450,MS021,P029,4,0,2
PSMS021143,MS021,P037,1,2,5
PSMS02110,MS021,P032,5,2,2
PSMS021231,MS021,P027,3,3,5
PSMS021551,MS021,P020,2,0,4
PSMS021805,MS021,P003,1,1,2
PSMS021582,MS021,P041,4,3,3
PSMS021210,MS021,P026,0,3,1
PSMS021487,MS021,P007,2,3,5
PSMS021917,MS021,P020,0,1,0
PSMS022618,MS022,P032,0,1,1
PSMS02272,MS022,P025,2,1,1
PSMS022299,MS022,P043,4,0,3
PSMS02259,MS022,P024,4,0,1
PSMS022335,MS022,P027,3,1,0
PSMS022133,MS022,P035,3,3,5
PSMS02271,MS022,P025,1,1,1
PSMS022318,MS022,P028,5,3,1
PSMS022619,MS022,P037,2,1,4
PSMS022734,MS022,P044,3,2,1
PSMS0228,MS022,P010,3,0,3
PSMS022620,MS022,P016,4,2,4
PSMS022901,MS022,P032,3,3,4
PSMS02241,MS022,P048,0,2,5
PSMS022903,MS022,P030,2,2,3
PSMS022628,MS022,P012,3,1,1
PSMS022922,MS022,P040,5,3,3
PSMS022394,MS022,P043,1,0,3
PSMS022716,MS022,P003,1,1,2
PSMS022904,MS022,P041,4,2,5
PSMS022939,MS022,P005,5,1,3
PSMS023774,MS023,P007,4,2,3
PSMS023462,MS023,P011,2,1,4
PSMS02346,MS023,P030,0,0,5
PSMS023712,MS023,P044,5,3,3
PSMS023352,MS023,P048,3,1,3
PSMS02339,MS023,P001,2,0,5
PSMS023940,MS023,P009,2,3,3
PSMS023473,MS023,P005,0,1,5
PSMS023973,MS023,P029,1,3,2
PSMS023862,MS023,P011,1,0,4
PSMS023103,MS023,P012,2,0,4
PSMS024782,MS024,P001,5,2,1
PSMS024452,MS024,P023,1,1,5
PSMS02436,MS024,P044,4,1,3
PSMS024714,MS024,P004,5,0,3
PSMS024707,MS024,P020,3,0,4
PSMS0245,MS024,P004,3,1,1
PSMS024384,MS024,P016,1,0,0
PSMS024432,MS024,P002,0,2,1
PSMS024697,MS024,P043,0,1,0
PSMS024817,MS024,P043,1,1,0
PSMS024426,MS024,P033,0,2,2
PSMS024576,MS024,P041,1,1,4
PSMS024405,MS024,P028,0,1,1
PSMS024109,MS024,P023,2,1,0
PSMS024412,MS024,P042,2,0,3
PSMS024218,MS024,P030,1,0,5
PSMS024835,MS024,P018,5,2,0
PSMS02469,MS024,P014,3,2,4
PSMS024512,MS024,P007,5,1,2
PSMS024983,MS024,P007,4,2,5
PSMS025711,MS025,P009,2,1,5
PSMS025780,MS025,P045,2,3,0
PSMS025344,MS025,P002,4,3,3
PSMS025524,MS025,P041,5,1,4
PSMS025602,MS025,P046,0,1,0
PSMS025632,MS025,P049,0,2,1
PSMS025756,MS025,P028,1,0,0
PSMS025141,MS025,P024,3,2,1
PSMS025156,MS025,P025,1,0,1
PSMS025946,MS025,P047,4,3,5
PSMS025899,MS025,P022,1,2,2
PSMS025660,MS025,P049,0,3,5
PSMS025833,MS025,P019,0,1,5
PSMS025340,MS025,P022,1,1,4
PSMS02556,MS025,P043,1,1,4
PSMS025894,MS025,P025,4,2,1
PSMS025453,MS025,P041,0,0,3
PSMS02572,MS025,P013,0,1,1
PSMS025129,MS025,P006,1,1,1
PSMS025520,MS025,P006,3,3,2
PSMS025169,MS025,P047,1,1,3
PSMS025181,MS025,P039,1,2,2
PSMS026279,MS026,P031,0,2,3
PSMS026387,MS026,P011,3,3,3
PSMS026518,MS026,P040,5,3,1
PSMS026840,MS026,P031,0,3,3
PSMS026875,MS026,P006,2,1,4
PSMS026745,MS026,P012,2,3,3
PSMS026314,MS026,P030,2,3,4
PSMS026621,MS026,P031,0,2,1
PSMS026733,MS026,P031,1,1,1
PSMS0265,MS026,P001,4,2,3
PSMS026415,MS026,P027,3,2,3
PSMS026502,MS026,P020,5,0,3
PSMS026907,MS026,P003,0,3,4
PSMS027790,MS027,P049,5,2,4
PSMS027727,MS027,P032,5,2,5
PSMS02760,MS027,P042,3,3,5
PSMS027253,MS027,P016,3,0,2
PSMS027647,MS027,P046,5,0,5
PSMS027682,MS027,P042,1,2,4
PSMS027467,MS027,P044,1,2,1
PSMS027617,MS027,P038,5,1,0
PSMS027120,MS027,P050,0,3,3
PSMS027724,MS027,P038,0,1,3
PSMS027170,MS027,P028,2,2,4
PSMS027991,MS027,P035,5,3,4
PSMS027316,MS027,P047,3,0,0
PSMS027652,MS027,P037,2,1,2
PSMS0287,MS028,P011,3,0,0
PSMS02872,MS028,P050,5,3,4
PSMS028427,MS028,P042,2,3,1
PSMS028181,MS028,P024,1,1,1
PSMS028499,MS028,P012,4,0,3
PSMS028581,MS028,P014,1,1,0
PSMS028768,MS028,P012,1,2,3
PSMS028452,MS028,P041,4,0,5
PSMS028171,MS028,P006,2,0,3
PSMS028128,MS028,P018,0,2,0
PSMS028600,MS028,P016,3,3,5
PSMS028779,MS028,P007,0,0,2
PSMS028770,MS028,P001,5,0,0
PSMS028217,MS028,P034,0,3,4
PSMS029776,MS029,P022,4,3,2
PSMS029380,MS029,P044,2,2,1
PSMS029964,MS029,P024,5,3,3
PSMS029626,MS029,P004,2,2,0
PSMS0294,MS029,P030,5,3,5
PSMS029856,MS029,P009,0,0,4
PSMS029287,MS029,P045,1,2,3
PSMS029634,MS029,P044,5,3,4
PSMS029424,MS029,P043,1,0,5
PSMS029981,MS029,P021,0,2,0
PSMS029993,MS029,P048,2,3,1
PSMS029622,MS029,P032,3,0,2
PSMS029439,MS029,P031,5,0,5
PSMS029395,MS029,P019,4,1,5
PSMS029147,MS029,P034,4,0,1
PSMS029510,MS029,P006,2,3,1
PSMS029918,MS029,P029,0,3,5
PSMS030175,MS030,P049,5,0,0
PSMS030446,MS030,P046,0,1,2
PSMS030925,MS030,P025,2,1,5
PSMS030264,MS030,P043,3,0,5
PSMS030140,MS030,P035,5,3,0
PSMS030815,MS030,P045,2,1,4
PSMS030785,MS030,P039,0,2,3
PSMS030933,MS030,P046,5,3,5
PSMS030658,MS030,P036,3,1,1
PSMS030266,MS030,P008,2,0,0
PSMS03092,MS030,P022,5,1,5
PSMS030965,MS030,P008,4,2,1
PSMS030874,MS030,P021,3,0,2
